Column1,Body Part,Pulse Ox,Time,Comments
2,3,100,1102,
3,3,100,1102,
4,3,100,1103,
5,2,100,1104,
6,2,100,1104,
7,2,100,1104,
8,1,100,1106,
9,1,100,1106,
10,1,100,1106,
11,4,100,1108,
12,4,100,1108,
13,4,100,1108,
14,3,100,1109,
15,3,100,1109,
16,3,100,1109,
17,2,100,1110,
18,2,100,1111,
19,2,100,1111,
20,2,100,1112,
21,2,100,1112,
22,1,100,1112,
23,4,100,1113,
24,4,100,1113,
25,4,100,1113,
26,3,100,1114,
27,3,100,1115,
28,3,100,1115,
29,2,100,1116,
30,2,100,1116,
31,2,100,1116,
32,2,100,1117,
33,2,100,1117,
34,2,100,1117,
35,2,100,1118,
36,2,100,1118,
37,2,100,1118,
38,1,100,1119,
39,1,100,1120,
40,1,100,1120,
41,4,100,1121,
42,4,100,1121,
43,4,100,1121,
